	id	price	area	bedrooms	wc	n_floors	car_place	house_orientation	furniture	facade	legal	street	district	type	date	address	latitude	longitude
3794	113576	4.2	56	2.0	2.0		True			False		lê trọng tấn	tân phú	tin thường	19/11/2023	lê trọng tấn, tân phú	10.8097872	106.6137671
3795	113320	21.0	117	3.0	3.0		False			False		nguyễn hiền	quận 3	tin thường	23/11/2023	nguyễn hiền, quận 3	10.7727882	106.6806056
3796	113064	30.8	132			7.0	False			True			quận 3	tin thường	27/11/2023	quận 3	10.778639	106.6870156
3797	112296	12.4	120	4.0	3.0	3.0	False			True		thành phố hồ chí minh	tân bình	tin thường	01/11/2023	thành phố hồ chí minh, tân bình	10.7704304	106.650936
3798	112040	4.2	64	3.0		2.0	True			True			tân phú	tin thường	31/10/2023	tân phú	10.7914967	106.6278431
3799	110504	3.2	28	3.0	2.0	2.0	False			False			gò vấp	tin thường	14/10/2023	gò vấp	10.8306171	106.6779308
3800	100776	4.9	39	3.0	3.0	5.0	True	đông		False			gò vấp	tin thường	29/06/2023	gò vấp	10.8306171	106.6779308
3801	108712	6.3	112			2.0	True			False			gò vấp	tin thường	25/09/2023	gò vấp	10.8306171	106.6779308
3802	107176	7.0	82	4.0	4.0	3.0	False			False			tân phú	tin thường	06/09/2023	tân phú	10.7914967	106.6278431
3803	106920	3.3	44	2.0	2.0	2.0	False			False		mã lò	bình tân	tin thường	02/09/2023	mã lò, bình tân	10.7595344	106.6056798
3804	106408	8.86	100	4.0	3.0	3.0	True	tây-bắc		False			tân phú	tin thường	25/08/2023	tân phú	10.7914967	106.6278431
3805	104360	0.73	134				False			True			hóc môn	tin thường	05/08/2023	hóc môn	10.878345	106.5763531
3806	103592	0.79	256	15.0	15.0		False			False			củ chi	tin thường	26/07/2023	củ chi	11.0370567	106.5024104
3807	102824	3.0	50	2.0	2.0		False			False			củ chi	tin thường	20/07/2023	củ chi	11.0370567	106.5024104
3808	102312	25.0	100				False			True		mai chí thọ	quận 2	tin thường	18/07/2023	mai chí thọ, quận 2	10.7751805	106.7267126
3809	102056	4.4	68	2.0	2.0		True	nam		False		mã lò	bình tân	tin thường	13/07/2023	mã lò, bình tân	10.7595344	106.6056798
3810	101800	4.2	37	2.0	2.0	1.0	True			False			quận 8	tin thường	12/07/2023	quận 8	10.7217236	106.6296151
3811	84905	4.5	85			2.0	False			True			thủ đức	tin thường	30/11/2022	thủ đức	10.8298295	106.7617899
3812	85929	4.5	56	1.0	1.0		True			True		lương định của	quận 2	tin thường	09/12/2022	lương định của, quận 2	10.7877607	106.7354009
3813	97193	15.9	168	4.0	5.0	2.0	False			False		số 8	quận 9	tin thường	21/05/2023	số 8, quận 9	10.8164747	106.7932921
3814	108713	8.5	196				False			True			bình thạnh	tin thường	25/09/2023	bình thạnh	10.8017639	106.7110322
3815	106921	3.85	52			5.0	False			False		lê văn quới	bình tân	tin thường	02/09/2023	lê văn quới, bình tân	10.776182	106.6109757
3816	106409	0.005	68	2.0	2.0		False			False		đường võ chí công	quận 9	tin thường	25/08/2023	đường võ chí công, quận 9	10.8397	106.77093
3817	105641	7.3	35	3.0	3.0	2.0	False			False			tân bình	tin thường	19/08/2023	tân bình	10.802583	106.6521157
3818	105129	5.4	60			3.0	False			False		trần văn đang	quận 3	tin thường	13/08/2023	trần văn đang, quận 3	10.7857228	106.6741397
3819	104873	4.3	39	2.0		2.0	True			False			bình tân	tin thường	10/08/2023	bình tân	10.7703708	106.5996353
3820	102825	6.0	60		5.0		False			False			bình tân	tin thường	20/07/2023	bình tân	10.7703708	106.5996353
3821	100521	3.79	100				True	đông		False			nhà bè	tin thường	27/06/2023	nhà bè	10.6956953	106.7395591
3822	100009	6.0	43	2.0		2.0	True			False			quận 6	tin thường	21/06/2023	quận 6	10.745886	106.6392921
3823	97705	8.85	180				True			False			bình tân	tin thường	24/05/2023	bình tân	10.7703708	106.5996353
3824	96681	0.5	40	2.0	2.0	1.0	False			True			hóc môn	tin thường	12/05/2023	hóc môn	10.878345	106.5763531
3825	86441	1.75	48	2.0	2.0	1.0	False			False		hoàng sĩ khải	quận 8	tin thường	14/12/2022	hoàng sĩ khải, quận 8	10.7371824	106.6432976
3826	95145	4.9	54	3.0	3.0	2.0	True			False			bình thạnh	tin thường	18/04/2023	bình thạnh	10.8017639	106.7110322
3827	94377	5.8	30	3.0	3.0	3.0	True			False			tân phú	tin thường	08/04/2023	tân phú	10.7914967	106.6278431
3828	90281	15.0	194	5.0	6.0	2.0	False			True			quận 10	tin thường	21/02/2023	quận 10	10.772732	106.6683666
3829	89513	3.15	35	2.0	2.0	2.0	False			False		vĩnh viễn	quận 10	tin thường	10/02/2023	vĩnh viễn, quận 10	10.7625408	106.6612493
3830	89001	3.55	87	3.0	2.0		False			False		đường võ chí công	quận 9	tin thường	03/02/2023	đường võ chí công, quận 9	10.8397	106.77093
3831	88233	0.035	90	2.0			False			False			quận 2	tin thường	07/01/2023	quận 2	10.779419	106.7308381
