id	price	area	bedrooms	wc	n_floors	car_place	house_orientation	furniture	facade	legal	street	district	type	date	location2
120812	5.8	64	4.0	4.0	4	False			False	sổ đỏ/ sổ hồng	số 4	bình tân	tin thường	29/09/2024	đường 4, an lạc
120813	11.8	182	3.0	2.0	2	True			False	sổ đỏ/ sổ hồng	số 1	quận 2	tin thường	29/09/2024	đường 12, bình trưng tây
120814	2.7	35	2.0	2.0	1	False			True	sổ đỏ/ sổ hồng	liên khu 5	bình tân	tin thường	29/09/2024	đường liên khu 5-6, bình hưng hòa b
120817	6.7	60	4.0	3.0	4	False			False	sổ đỏ/ sổ hồng	bưng ông thoàn	quận 9	tin thường	29/09/2024	đường bưng ông thoàn, phú hữu
120877	5.89	63	2.0	2.0	1	True			False	sổ đỏ/ sổ hồng	đinh bộ lĩnh	bình thạnh	tin thường	30/09/2024	đường đinh bộ lĩnh, 26
120819	3.8	30	2.0	2.0	1	False			False	sổ đỏ/ sổ hồng	nguyễn văn nghi	gò vấp	tin thường	29/09/2024	nguyễn văn nghi
120878	2.5	107	1.0	1.0	1	False			False	sổ đỏ/ sổ hồng	xuân thới sơn 2	hóc môn	tin thường	30/09/2024	đường xuân thới sơn 25, hóc môn
120821	3.23	17	2.0	3.0	3	True			False	sổ đỏ/ sổ hồng	2 nguyên hồng	bình thạnh	tin thường	29/09/2024	đường nguyên hồng, 1
120822	6.19	28	3.0	4.0	5	False			True	sổ đỏ/ sổ hồng	phan tây hồ	phú nhuận	tin thường	29/09/2024	đường phan tây hồ, 7
120823	6.18	28	3.0	4.0	5	False			True	sổ đỏ/ sổ hồng	phan tây hồ	phú nhuận	tin thường	29/09/2024	đường phan tây hồ, 7
120824	5.0	46	3.0	2.0		False	{var:huongid}		False	sổ đỏ/ sổ hồng	trần xuân soạn	quận 7	tin thường	29/09/2024	đường trần xuân soạn, tân hưng
120825	4.3	48	3.0	3.0	3	True			False	sổ đỏ/ sổ hồng	mã lò	bình tân	tin thường	29/09/2024	đường mã lò, bình trị đông a
120828	3.55	35	2.0	2.0	3	False			False	sổ đỏ/ sổ hồng	nguyễn văn lượng	gò vấp	tin thường	29/09/2024	đường nguyễn văn lượng, 16
120831	3.7	31	3.0	3.0	2	True			False	sổ đỏ/ sổ hồng	nguyễn văn công	gò vấp	tin thường	29/09/2024	đường nguyễn văn công, 3
120836	11.8	88	5.0	6.0	3	True			False	sổ đỏ/ sổ hồng	lê văn lương	quận 7	tin thường	29/09/2024	đường lê văn lương, tân kiểng
120837	8.0	80	4.0	5.0	4	True		cơ bản	False	sổ đỏ/ sổ hồng		nhà bè	tin thường	29/09/2024	1979 huỳnh tấn phát
120838	4.39	63	3.0	3.0	2	True			False	sổ đỏ/ sổ hồng	nguyễn văn nghi	gò vấp	tin thường	29/09/2024	đường nguyễn văn khối, 11
120841	28.0	461	10.0	10.0	1	False	tây bắc		True	sổ đỏ/ sổ hồng	an phú đông	quận 12	tin thường	29/09/2024	đường an phú đông 9, an phú đông
120842	4.97	72	2.0	2.0		False	{var:huongid}		False	hợp đồng mua bán	nguyễn xiển	quận 9	tin thường	29/09/2024	đường nguyễn xiển, long thạnh mỹ
120843	4.97	72	2.0	2.0		False			False	hợp đồng mua bán	nguyễn xiển	quận 9	tin thường	29/09/2024	đường nguyễn xiển, long thạnh mỹ
120846	10.5	145	18.0	18.0	4	False			True	sổ đỏ/ sổ hồng	tân thới hiệp	quận 12	tin thường	29/09/2024	đường tân thới hiệp 13, tân thới hiệp
120848	15.5	177	4.0	3.0		False			True	sổ đỏ/ sổ hồng	quốc lộ 22	quận 12	tin thường	29/09/2024	đường quốc lộ 22, trung mỹ tây
120849	6.3	51	3.0	2.0	1	False			True	sổ đỏ/ sổ hồng	tô hiến thành	quận 10	tin thường	29/09/2024	đường tô hiến thành, 15
120852	2.1	16	2.0	2.0	1	False			True	sổ đỏ/ sổ hồng	đinh bộ lĩnh	bình thạnh	tin thường	29/09/2024	đường đinh bộ lĩnh, 26
120853	22.5	108			2	True			True	sổ đỏ/ sổ hồng	hiệp nhất	tân bình	tin thường	29/09/2024	đường hiệp nhất, 4
120854	21.0	81			3	True			True	sổ đỏ/ sổ hồng	nguyễn tất thành	quận 4	tin thường	29/09/2024	đường nguyễn tất thành, 18
